Spectrum	Date	Time	Acetylene (1000) 191C	Benzene  191c	C4F6 150C	CF4 Low 150C	CH4 (250) 191C (1of2)	CO (500) 191C (1of2)	CO2 ppm 191c	Desflurane 150c	Ethane (500) 191C	Ethylene (100,3000) 191C	H2O% (40) 191C	HCl ppm (100) 191C	HEXAFLUOROETHANE 150C	HEXAFLUOROPROPYLENE 150C	HF ppm (10) 191C	Isoflurane 150c	N2O (100,200,300) 191C	NO (350,3000) 191C	Propane (100) 191C	TRIFLUOROMETHANE 150C	Temp (C)	Pressure (Atm)	NO2 wet	CO wet	CH4 wet	NH3 wet	NOx wet	CO dry	CO2% dry	NO dry	NO2 dry	NOx dry	HC (C3)	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
2020 HEATING NEW PTFE LINE_0275.LAB	11/19/2020	14:32:48.418	0.336633	-0.212253	-0.038646	0.016768	2.151794	0.489561	454.992343	-0.000968	0.373280	0.138686	0.544843	0.206244	0.043471	-0.004193	0.143812	0.013536	0.311405	-0.577468	0.046151	0.011678	192.012619	1.006238	-0.212253	0.210518	0.311405	2.151794	0.124380	0.210516	0.544837	0.336630	-0.212251	0.124379	0.182115	2.912942	6.347509	83.832901	8.663780	-5.437363	0.000000	1133.186523	0.000404	1282.299438	0.861452
2020 HEATING NEW PTFE LINE_0276.LAB	11/19/2020	14:32:52.352	0.156329	-2.115126	0.042664	0.019934	2.064802	0.835733	453.324414	-0.024455	0.265460	-0.007544	0.543850	0.136140	0.045726	-0.006104	0.113926	0.018253	0.396033	-0.139056	0.241422	0.005765	192.029572	1.006613	-2.115126	0.179043	0.396033	2.064802	-1.958797	0.178999	0.543717	0.156291	-2.114609	-1.958318	0.307378	2.912380	6.346964	85.231453	8.646470	-5.437363	0.000000	1133.189209	0.000441	1347.108887	0.861354
2020 HEATING NEW PTFE LINE_0277.LAB	11/19/2020	14:32:56.210	-0.068982	-1.277917	-0.035251	0.014383	2.215105	0.675731	453.934440	-0.021329	0.516427	0.080030	0.552284	0.100575	0.037895	-0.040834	0.179700	-0.002667	0.223898	-0.192019	-0.017186	0.014525	192.012619	1.005917	-1.277917	0.100589	0.223898	2.215105	-1.346899	0.100568	0.552166	-0.068967	-1.277644	-1.346612	0.121838	2.909311	6.346345	84.831863	8.646470	-5.439560	0.000000	1133.188354	0.000264	983.374634	0.861233
2020 HEATING NEW PTFE LINE_0278.LAB	11/19/2020	14:33:00.140	0.254161	-1.061866	-0.034056	0.016084	2.174805	0.748040	454.510521	-0.037842	0.560285	0.176217	0.547475	-0.053120	0.042413	-0.004393	0.150691	0.011231	0.409928	-0.365680	-0.383412	0.006216	192.038055	1.006479	-1.061866	-0.051670	0.409928	2.174805	-0.807705	-0.051651	0.547268	0.254065	-1.061465	-0.807400	0.167765	2.906146	6.345311	84.991699	8.746869	-5.439560	0.000000	1133.189575	0.000095	992.693481	0.860291
2020 HEATING NEW PTFE LINE_0279.LAB	11/19/2020	14:33:04.100	0.189302	-0.500379	0.041886	0.018153	2.302517	0.426655	453.976937	-0.035551	0.772132	-0.095905	0.543923	0.241656	0.036336	-0.005323	0.251684	0.003067	0.359095	-0.360388	-0.165284	0.012644	192.063492	1.006720	-0.500379	0.241659	0.359095	2.302517	-0.311076	0.241573	0.543730	0.189235	-0.500201	-0.310966	0.190028	2.903424	6.344847	84.192528	8.746869	-5.439560	0.000000	1133.191162	0.000116	978.973816	0.861836
2020 HEATING NEW PTFE LINE_0280.LAB	11/19/2020	14:33:08.327	-0.093486	-1.353822	-0.000087	0.013817	2.143129	0.983510	451.262119	-0.015929	0.541141	-0.004008	0.553003	0.083012	0.042791	-0.009143	0.159525	0.011779	0.272665	-0.200529	-0.273658	0.009093	191.987183	1.006238	-1.353822	0.085145	0.272665	2.143129	-1.447308	0.085131	0.552915	-0.093471	-1.353606	-1.447077	0.115771	2.906006	6.345057	83.633110	8.701863	-5.439560	0.000000	1133.191895	0.000187	989.573669	0.860900
2020 HEATING NEW PTFE LINE_0281.LAB	11/19/2020	14:33:11.985	-0.036048	-1.087299	-0.008055	0.013262	2.245872	0.981408	453.828364	-0.042138	0.387247	-0.006850	0.547830	0.214545	0.039976	0.019065	0.217369	0.004613	0.200919	-0.146829	-0.185889	0.009759	191.885422	1.005917	-1.087299	0.214665	0.200919	2.245872	-1.123347	0.214574	0.547599	-0.036033	-1.086841	-1.122874	0.126704	2.910219	6.346095	83.513237	8.701863	-5.439560	0.000000	1133.192505	0.000403	1039.284546	0.861620
2020 HEATING NEW PTFE LINE_0282.LAB	11/19/2020	14:33:15.831	0.185832	-2.208071	-0.012826	0.015050	2.243334	1.119539	453.062763	-0.019910	0.459143	0.106790	0.550487	0.044424	0.038191	-0.027662	0.111989	0.005229	0.338913	-0.178218	-0.056103	0.009135	191.893906	1.005970	-2.208071	0.044443	0.338913	2.243334	-2.022238	0.044435	0.550378	0.185795	-2.207631	-2.021836	0.133429	2.913364	6.345994	84.432281	8.701863	-5.446154	0.000000	1133.194824	0.000033	1408.115479	0.862486
2020 HEATING NEW PTFE LINE_0283.LAB	11/19/2020	14:33:19.756	0.118383	-0.999942	-0.033400	0.016991	2.142815	1.068507	452.584778	-0.032029	0.638485	0.025676	0.545794	0.079460	0.046359	0.025000	0.174720	0.023174	0.196895	-0.412971	-0.146659	0.012962	191.987183	1.005836	-0.999942	0.161330	0.196895	2.142815	-0.881559	0.161278	0.545619	0.118345	-0.999622	-0.881277	0.121671	2.914461	6.346400	84.592117	8.753794	-5.446154	0.000000	1133.194458	0.000284	1301.564209	0.862632
2020 HEATING NEW PTFE LINE_0284.LAB	11/19/2020	14:33:23.685	-0.233026	-0.383837	-0.045829	0.016376	2.169120	0.425379	452.053437	-0.027333	0.450838	0.116552	0.543836	0.168181	0.030080	-0.071113	0.181905	0.009436	0.287956	-0.547682	-0.257998	0.003896	191.987183	1.005756	-0.383837	0.168181	0.287956	2.169120	-0.616864	0.168135	0.543687	-0.232963	-0.383732	-0.616695	0.103610	2.911963	6.346032	84.232491	8.753794	-5.470330	0.000000	1133.193359	0.000162	837.807678	0.860990
2020 HEATING NEW PTFE LINE_0285.LAB	11/19/2020	14:33:27.948	0.073331	-1.043703	-0.004007	0.016443	2.517305	0.819715	453.953220	-0.009810	0.625420	-0.081400	0.543634	0.182365	0.053215	0.009149	0.205773	-0.009224	0.248444	0.203723	0.053895	0.012354	192.038055	1.006077	-1.043703	76.626568	0.248444	2.517305	-0.970372	76.619052	0.543581	0.073324	-1.043601	-0.970277	0.186369	2.908075	6.344486	83.673073	8.708787	-5.470330	0.000000	1133.195190	0.000303	873.719421	0.860851
2020 HEATING NEW PTFE LINE_0286.LAB	11/19/2020	14:33:31.585	0.267646	-0.831197	-0.000646	0.017288	2.433825	0.251660	451.807087	-0.010641	0.439438	0.077418	0.545847	0.068136	0.034606	-0.035223	0.097749	-0.017501	0.306279	-0.277028	0.006098	0.008760	192.012619	1.006077	-0.831197	0.068137	0.306279	2.433825	-0.563551	0.068129	0.545789	0.267617	-0.831109	-0.563491	0.124650	2.904335	6.343057	83.872864	8.708787	-5.479121	0.000000	1133.198364	0.000485	1020.882935	0.859817
2020 HEATING NEW PTFE LINE_0287.LAB	11/19/2020	14:33:35.457	0.456355	-1.065639	-0.032621	0.016858	2.121168	0.770247	452.118898	-0.018026	0.477753	0.154299	0.542684	0.317624	0.040854	-0.007566	0.166292	-0.003938	0.321627	-0.329746	0.105603	0.015170	192.063492	1.006399	-1.065639	0.317918	0.321627	2.121168	-0.609283	0.317860	0.542586	0.456273	-1.065446	-0.609173	0.215884	2.902782	6.343003	85.271408	8.708787	-5.479121	0.000000	1133.197998	0.000200	965.960449	0.860046
2020 HEATING NEW PTFE LINE_0288.LAB	11/19/2020	14:33:39.723	0.301524	-1.053111	-0.004474	0.018175	2.189012	0.934240	453.100138	-0.023620	0.631752	-0.048510	0.547190	0.163086	0.046961	-0.014849	0.248764	0.003328	0.306312	-0.584240	-0.162058	0.011422	192.083847	1.006013	-1.053111	0.314483	0.306312	2.189012	-0.751587	0.314408	0.547061	0.301453	-1.052863	-0.751410	0.164922	2.905236	6.343279	84.432281	8.798800	-5.481318	0.000000	1133.198853	0.000281	892.083374	0.861735
2020 HEATING NEW PTFE LINE_0289.LAB	11/19/2020	14:33:43.360	0.264103	-0.027740	-0.052319	0.016284	2.111262	-0.143475	452.118434	-0.014661	0.159849	0.000669	0.544800	0.033699	0.054643	0.006005	0.308924	0.001199	0.340400	-0.248099	0.242766	0.008233	192.029572	1.005863	-0.027740	225.038528	0.340400	2.111262	0.236363	225.005540	0.544720	0.264064	-0.027736	0.236328	0.370796	2.909698	6.343896	84.512199	8.798800	-5.481318	0.000000	1133.199951	0.000114	1164.010742	0.861324
2020 HEATING NEW PTFE LINE_0290.LAB	11/19/2020	14:33:47.387	-0.185003	-0.004386	0.047884	0.019578	2.307067	0.487540	450.907304	-0.020583	0.265134	0.088889	0.551662	0.028654	0.041772	-0.024628	0.207315	0.008818	0.403143	-0.367999	0.010585	0.011001	191.987183	1.005997	-0.004386	0.029406	0.403143	2.307067	-0.189388	0.029400	0.551549	-0.184965	-0.004385	-0.189349	0.216704	2.913066	6.344700	84.072655	8.778028	-5.481318	0.000000	1133.200195	0.000102	1115.845093	0.862108
2020 HEATING NEW PTFE LINE_0291.LAB	11/19/2020	14:33:51.521	0.057867	0.314922	0.048329	0.019369	2.114238	0.717342	451.987005	-0.016854	0.779416	0.026574	0.552317	0.264129	0.043687	-0.055232	0.146085	0.016256	0.404232	-0.185779	-0.153946	0.010916	191.910873	1.005917	0.314922	0.269463	0.404232	2.114238	0.372789	0.269418	0.552224	0.057857	0.314869	0.372726	0.147305	2.916413	6.345442	83.752983	8.739945	-5.483517	0.000000	1133.199585	0.000265	1053.218872	0.862107
2020 HEATING NEW PTFE LINE_0292.LAB	11/19/2020	14:33:55.159	0.024081	-0.636462	-0.028101	0.015083	2.269596	0.959412	452.351866	-0.024967	0.372957	0.067191	0.542418	0.060555	0.043843	-0.056573	0.194816	-0.002711	0.313025	-0.684288	0.186796	0.014770	191.995651	1.006613	-0.636462	0.066815	0.313025	2.269596	-0.612380	0.066798	0.542283	0.024075	-0.636303	-0.612227	0.249991	2.916704	6.344985	84.991699	8.739945	-5.483517	0.000000	1133.200684	0.000163	1142.218262	0.863239
2020 HEATING NEW PTFE LINE_0293.LAB	11/19/2020	14:33:59.002	0.135844	-2.276935	0.005463	0.017136	2.273860	0.622245	452.211928	-0.041467	0.835657	-0.005136	0.551336	0.039252	0.041602	-0.008044	0.223741	0.018233	0.275508	-0.513104	-0.162593	0.012764	192.063492	1.006158	-2.276935	0.039884	0.275508	2.273860	-2.141091	0.039867	0.551108	0.135788	-2.275991	-2.140203	0.151165	2.914316	6.344428	85.191490	8.739945	-5.494505	0.000000	1133.202148	0.000209	1083.096924	0.861671
2020 HEATING NEW PTFE LINE_0294.LAB	11/19/2020	14:34:02.921	0.212204	-0.610980	0.098692	0.015618	2.195280	0.995112	453.152382	-0.015941	0.293794	-0.007370	0.547993	0.154284	0.046497	-0.010406	0.167772	0.008407	0.307904	-0.596694	-0.256272	0.015852	192.038055	1.005997	-0.610980	0.248583	0.307904	2.195280	-0.398776	0.248543	0.547905	0.212170	-0.610883	-0.398713	0.132980	2.912613	6.345187	84.312408	8.729559	-5.494505	0.000000	1133.200806	0.000311	1008.797058	0.862151
2020 HEATING NEW PTFE LINE_0295.LAB	11/19/2020	14:34:06.886	0.329720	-0.067953	0.010718	0.020244	2.149719	0.887842	453.348879	-0.011477	0.253397	0.135720	0.543166	0.005703	0.046442	-0.011324	0.195358	0.013632	0.375242	-0.546368	-0.316215	0.011265	192.063492	1.005676	-0.067953	0.094883	0.375242	2.149719	0.261767	0.094872	0.543104	0.329682	-0.067945	0.261737	0.169351	2.912807	6.343653	84.192528	8.729559	-5.496703	0.000000	1133.203979	0.000194	1017.254822	0.862019
2020 HEATING NEW PTFE LINE_0296.LAB	11/19/2020	14:34:10.814	0.176847	0.364015	-0.008121	0.018291	2.395266	0.253092	455.438266	-0.015724	0.311485	0.162158	0.535524	0.100922	0.053116	-0.020409	0.183952	-0.010460	0.320997	-0.539852	0.055958	0.005605	192.038055	1.006077	0.364015	70.185426	0.320997	2.395266	0.540862	70.174391	0.535439	0.176819	0.363958	0.540777	0.187977	2.913452	6.343250	83.673073	8.764180	-5.496703	0.000000	1133.204346	0.000384	1030.547729	0.862599
2020 HEATING NEW PTFE LINE_0297.LAB	11/19/2020	14:34:14.693	0.213355	-0.499534	-0.070006	0.020324	2.154332	0.833238	457.895450	-0.021547	0.471924	0.026245	0.542791	0.088788	0.040843	0.004206	0.110013	-0.006626	0.399199	-0.242998	0.075958	0.012274	192.063492	1.005970	-0.499534	0.089078	0.399199	2.154332	-0.286179	0.089059	0.542674	0.213309	-0.499426	-0.286117	0.212853	2.912959	6.342531	84.512199	8.764180	-5.496703	0.000000	1133.204590	0.000261	870.710937	0.862534
2020 HEATING NEW PTFE LINE_0298.LAB	11/19/2020	14:34:18.806	0.326357	-0.587226	-0.037701	0.016474	2.231553	0.869471	455.235085	-0.048563	0.441946	0.059339	0.553515	0.072692	0.046776	0.021109	0.147373	0.016092	0.432241	-0.280847	-0.203002	0.009268	192.038055	1.006077	-0.587226	0.198107	0.432241	2.231553	-0.260869	0.198010	0.553246	0.326198	-0.586940	-0.260742	0.186990	2.911759	6.341698	84.312408	8.736484	-5.494505	0.000000	1133.206299	0.000018	766.672852	0.861600
2020 HEATING NEW PTFE LINE_0299.LAB	11/19/2020	14:34:22.554	-0.284432	-2.131359	-0.025663	0.014186	2.151440	1.032426	453.826698	-0.028479	0.192869	0.066246	0.550855	0.009751	0.037040	-0.026247	0.144798	0.003807	0.375653	-0.071546	-0.022708	0.004182	192.063492	1.005997	-2.131359	0.009756	0.375653	2.151440	-2.415791	0.009754	0.550698	-0.284351	-2.130752	-2.415103	0.165740	2.908774	6.341185	85.031654	8.736484	-5.494505	0.000000	1133.207031	0.000294	893.846619	0.861902
2020 HEATING NEW PTFE LINE_0300.LAB	11/19/2020	14:34:26.807	0.450375	-1.423501	-0.026164	0.013541	2.192900	0.965277	453.734360	-0.039450	0.407201	0.012631	0.548831	-0.155766	0.036741	-0.018561	0.150565	0.014744	0.348596	-0.398120	-0.387085	0.006788	192.012619	1.005836	-1.423501	-0.155761	0.348596	2.192900	-0.973126	-0.155700	0.548615	0.450197	-1.422939	-0.972742	0.140518	2.906161	6.341068	83.593155	8.715711	-5.485714	0.000000	1133.206665	0.000156	914.676819	0.860926
2020 HEATING NEW PTFE LINE_0301.LAB	11/19/2020	14:34:30.444	0.245281	-0.256795	-0.054552	0.017545	2.264383	0.661799	453.877940	-0.022776	0.789364	0.057746	0.546494	0.136183	0.041484	-0.028132	0.206034	-0.006506	0.393209	-0.154337	-0.377565	0.008438	192.038055	1.006479	-0.256795	0.136743	0.393209	2.264383	-0.011514	0.136712	0.546369	0.245225	-0.256736	-0.011511	0.168401	2.902933	6.340313	84.751945	8.715711	-5.485714	0.000000	1133.207642	0.000240	1016.651611	0.861433
2020 HEATING NEW PTFE LINE_0302.LAB	11/19/2020	14:34:34.319	0.408086	-1.217884	-0.086296	0.018422	2.254646	0.955671	454.277776	-0.052986	0.800294	-0.032284	0.548543	0.147753	0.041626	-0.010078	0.224259	0.020043	0.218613	-0.326375	-0.255656	-0.001295	192.029572	1.005756	-1.217884	0.148401	0.218613	2.254646	-0.809798	0.148322	0.548252	0.407870	-1.217239	-0.809369	0.120626	2.902014	6.340053	85.071617	8.715711	-5.483517	0.000000	1133.209106	0.000287	1189.757080	0.860866
2020 HEATING NEW PTFE LINE_0303.LAB	11/19/2020	14:34:38.551	0.358232	0.619209	-0.058062	0.019518	2.287190	0.876048	454.615346	-0.035732	0.651032	0.013021	0.550271	0.141622	0.043636	-0.027384	0.265336	-0.002313	0.302982	-0.555403	-0.094152	0.000957	192.022797	1.006270	0.619209	0.146686	0.302982	2.287190	0.977442	0.146634	0.550074	0.358104	0.618988	0.977093	0.168862	2.903514	6.340504	84.552155	8.715711	-5.483517	0.000000	1133.208008	0.000214	1468.884521	0.861039
2020 HEATING NEW PTFE LINE_0304.LAB	11/19/2020	14:34:42.185	0.155748	-0.487926	-0.023939	0.017714	2.312971	0.461281	452.304357	-0.008265	0.553200	0.065501	0.545743	-0.021435	0.040364	0.000688	0.111806	-0.004758	0.317443	-0.364411	-0.212324	0.009908	191.995651	1.006077	-0.487926	-0.021257	0.317443	2.312971	-0.332179	-0.021256	0.545698	0.155735	-0.487886	-0.332151	0.114928	2.908130	6.341081	84.312408	8.715711	-5.485714	0.000000	1133.209229	0.000223	993.236267	0.861203
2020 HEATING NEW PTFE LINE_0305.LAB	11/19/2020	14:34:46.092	-0.119493	-0.355339	-0.085040	0.017498	2.222142	0.108615	453.149883	-0.026928	0.416121	0.078769	0.547198	0.147063	0.042254	0.030490	0.165016	0.018754	0.346664	-0.237335	-0.212780	0.003739	192.063492	1.005676	-0.355339	0.148294	0.346664	2.222142	-0.474832	0.148254	0.547051	-0.119461	-0.355243	-0.474704	0.165658	2.912903	6.341920	84.152573	8.757256	-5.485714	0.000000	1133.210205	0.000487	868.632629	0.862884
2020 HEATING NEW PTFE LINE_0306.LAB	11/19/2020	14:34:50.051	0.415397	-0.690058	-0.048844	0.019741	2.306814	1.029229	456.468833	-0.026135	0.367767	0.039624	0.549785	-0.000001	0.038177	-0.038103	0.105041	0.021438	0.194888	-0.196525	-0.593557	0.008630	192.012619	1.005676	-0.690058	0.000018	0.194888	2.306814	-0.274661	0.000018	0.549641	0.415289	-0.689878	-0.274590	0.076108	2.916281	6.342101	84.072655	8.757256	-5.485714	0.000000	1133.211426	0.000132	789.918640	0.863322
2020 HEATING NEW PTFE LINE_0307.LAB	11/19/2020	14:34:54.307	-0.098777	-0.012399	-0.072383	0.017034	2.318521	0.845812	454.448548	-0.039941	0.650949	0.169704	0.554470	0.018313	0.032402	-0.007344	0.254414	0.010613	0.415751	-0.428222	-0.026014	0.008118	192.063492	1.006158	-0.012399	0.018313	0.415751	2.318521	-0.111176	0.018306	0.554249	-0.098738	-0.012394	-0.111131	0.237097	2.916040	6.341857	83.832901	8.746869	-5.481318	0.000000	1133.210937	0.000408	1055.232910	0.862229
2020 HEATING NEW PTFE LINE_0308.LAB	11/19/2020	14:34:57.942	0.177264	-0.817973	-0.038278	0.017491	2.475964	0.865330	455.242383	-0.025577	0.643523	0.175395	0.548138	-0.070713	0.033631	-0.017560	0.227623	0.011368	0.351476	-0.258413	0.090980	0.005458	192.029572	1.005542	-0.817973	-0.070713	0.351476	2.475964	-0.640709	-0.070695	0.547998	0.177219	-0.817764	-0.640545	0.241497	2.913226	6.341691	85.031654	8.746869	-5.481318	0.000000	1133.211792	0.000068	964.832703	0.862555
2020 HEATING NEW PTFE LINE_0309.LAB	11/19/2020	14:35:01.783	0.210822	-1.607745	0.011464	0.014464	2.184642	0.483810	455.452309	-0.005087	0.560427	0.019083	0.546625	0.100497	0.030363	-0.006400	0.248364	-0.013870	0.281770	-0.225837	-0.347442	0.010647	192.063492	1.005997	-1.607745	0.100497	0.281770	2.184642	-1.396923	0.100492	0.546597	0.210812	-1.607663	-1.396852	0.152504	2.909078	6.339702	85.151535	8.746869	-5.470330	0.000000	1133.213257	0.000164	1005.742737	0.860491
2020 HEATING NEW PTFE LINE_0310.LAB	11/19/2020	14:35:06.047	0.453520	-0.222332	-0.043193	0.017141	2.174567	0.490870	453.963461	-0.015327	0.391385	0.009931	0.556676	0.186897	0.037044	0.001720	0.200065	0.002422	0.398342	-0.344533	0.104214	0.015535	192.088928	1.006399	-0.222332	0.186903	0.398342	2.174567	0.231188	0.186874	0.556591	0.453451	-0.222298	0.231153	0.263518	2.906052	6.338968	83.792946	8.736484	-5.468132	0.000000	1133.213745	0.000173	952.167664	0.860691
2020 HEATING NEW PTFE LINE_0311.LAB	11/19/2020	14:35:09.974	-0.008366	-1.002426	-0.059836	0.015697	2.063670	0.560497	452.654831	-0.016269	0.408215	-0.029756	0.537932	0.186752	0.032243	-0.012441	0.176146	-0.006659	0.330434	-0.108286	-0.193269	0.005093	191.987183	1.006077	-1.002426	0.186752	0.330434	2.063670	-1.010792	0.186722	0.537845	-0.008364	-1.002263	-1.010627	0.135951	2.904025	6.338878	83.633110	8.736484	-5.468132	0.000000	1133.212891	0.000165	1083.940063	0.860760
2020 HEATING NEW PTFE LINE_0312.LAB	11/19/2020	14:35:13.622	-0.040318	0.030529	-0.067169	0.015787	2.159167	0.910624	453.699917	-0.041858	0.889536	-0.055800	0.558165	0.150719	0.033624	0.000108	0.171876	0.008924	0.257897	-0.232311	-0.390233	0.006623	192.114365	1.006077	0.030529	0.150719	0.257897	2.159167	-0.009790	0.150656	0.557931	-0.040301	0.030516	-0.009785	0.122162	2.906122	6.339259	83.872864	8.694939	-5.468132	0.000000	1133.215088	0.000297	978.846802	0.861833
2020 HEATING NEW PTFE LINE_0313.LAB	11/19/2020	14:35:17.546	0.098481	1.421433	-0.020653	0.013092	2.178825	0.588527	454.005243	-0.038629	0.780232	-0.056901	0.548455	0.030355	0.023805	-0.000937	0.132981	0.004749	0.356853	-0.178626	-0.118414	0.007975	192.097412	1.006184	1.421433	0.030355	0.356853	2.178825	1.519914	0.030343	0.548243	0.098443	1.420885	1.519327	0.146578	2.909993	6.340086	85.271408	8.694939	-5.476923	0.000000	1133.215454	0.000435	1211.067505	0.860829
2020 HEATING NEW PTFE LINE_0314.LAB	11/19/2020	14:35:21.409	-0.276700	-0.170120	-0.040530	0.015952	2.211443	0.705513	453.866655	-0.032245	0.268609	-0.037544	0.541707	0.250293	0.034788	-0.052830	0.207126	0.006224	0.298324	-0.415176	0.090000	0.005758	192.088928	1.005917	-0.170120	0.250293	0.298324	2.211443	-0.446820	0.250213	0.541532	-0.276611	-0.170066	-0.446676	0.197350	2.913140	6.340251	84.911781	8.746869	-5.476923	0.000000	1133.215454	0.000132	1443.039673	0.861195
2020 HEATING NEW PTFE LINE_0315.LAB	11/19/2020	14:35:25.329	0.337160	-0.359899	0.021179	0.017441	2.213032	0.951867	453.198494	-0.011052	0.568051	0.077897	0.558265	0.102947	0.032944	-0.057099	0.139765	0.000147	0.411577	-0.414482	-0.197764	0.008199	192.063492	1.006238	-0.359899	0.102947	0.411577	2.213032	-0.022739	0.102936	0.558203	0.337122	-0.359859	-0.022737	0.137289	2.914255	6.340514	85.031654	8.746869	-5.481318	0.000000	1133.216064	0.000457	975.243530	0.861593
2020 HEATING NEW PTFE LINE_0316.LAB	11/19/2020	14:35:29.253	-0.092029	-1.434606	-0.021722	0.017393	1.987446	0.395855	454.097204	-0.017268	0.004251	0.124744	0.537997	-0.080279	0.036835	-0.027648	0.059461	-0.003577	0.286438	-0.372041	0.279753	0.009933	192.012619	1.005917	-1.434606	-0.080275	0.286438	1.987446	-1.526635	-0.080261	0.537904	-0.092013	-1.434359	-1.526372	0.260675	2.912830	6.339822	85.111572	8.746869	-5.481318	0.000000	1133.217285	0.000174	967.750061	0.861980
2020 HEATING NEW PTFE LINE_0317.LAB	11/19/2020	14:35:33.222	-0.157966	-1.770254	0.005380	0.020127	2.176435	0.682134	453.822797	-0.012001	0.520956	0.084635	0.539030	0.176023	0.031858	-0.020059	0.119410	-0.014822	0.179166	-0.456828	0.004990	0.014238	192.088928	1.005997	-1.770254	0.176023	0.179166	2.176435	-1.928220	0.176001	0.538965	-0.157947	-1.770042	-1.927989	0.094363	2.910433	6.339006	85.311371	8.705325	-5.481318	0.000000	1133.218628	0.000182	850.350952	0.861254
2020 HEATING NEW PTFE LINE_0318.LAB	11/19/2020	14:35:37.297	-0.013229	-0.469932	0.051586	0.017843	2.032889	1.027273	452.776872	-0.009538	0.162140	0.011377	0.546279	0.103639	0.033213	-0.015925	0.209525	0.003650	0.268928	-0.324969	-0.285934	0.009228	192.063492	1.005997	-0.469932	0.103639	0.268928	2.032889	-0.483161	0.103629	0.546227	-0.013228	-0.469887	-0.483115	0.129269	2.906838	6.338036	83.832901	8.705325	-5.476923	0.000000	1133.218750	0.000121	864.678894	0.861024
2020 HEATING NEW PTFE LINE_0319.LAB	11/19/2020	14:35:41.025	0.238709	-0.218790	-0.034388	0.017613	2.311449	1.318828	455.027016	-0.041840	0.447406	0.005090	0.541500	0.071254	0.030290	-0.025439	0.126749	-0.008011	0.337495	-0.395152	-0.144588	0.001046	192.029572	1.006399	-0.218790	0.071254	0.337495	2.311449	0.019919	0.071225	0.541273	0.238609	-0.218698	0.019911	0.116134	2.903733	6.337210	84.432281	8.681090	-5.476923	0.000000	1133.219727	0.000587	921.214600	0.860895
2020 HEATING NEW PTFE LINE_0320.LAB	11/19/2020	14:35:45.285	0.268589	-0.671751	-0.031012	0.015557	2.234336	1.036134	452.261508	-0.015385	0.365022	0.153089	0.541546	0.004273	0.036736	-0.034357	0.179086	-0.007692	0.284772	-0.240749	-0.198406	0.016216	192.038055	1.006077	-0.671751	0.004277	0.284772	2.234336	-0.403162	0.004276	0.541463	0.268548	-0.671648	-0.403100	0.115294	2.905494	6.338236	83.872864	8.681090	-5.481318	0.000000	1133.219360	0.000106	994.207764	0.862075
2020 HEATING NEW PTFE LINE_0321.LAB	11/19/2020	14:35:48.977	-0.057825	-1.306816	0.009213	0.019220	2.218183	0.613133	454.101229	-0.023943	0.407445	-0.155937	0.551624	0.202638	0.044208	-0.038274	0.081814	0.004398	0.150032	0.194181	-0.423685	0.004126	192.038055	1.006077	-1.306816	0.211727	0.150032	2.218183	-1.364641	0.211676	0.551492	-0.057811	-1.306503	-1.364314	0.033450	2.908527	6.338866	83.633110	8.719173	-5.481318	0.000000	1133.219116	0.000501	994.230408	0.860815
2020 HEATING NEW PTFE LINE_0322.LAB	11/19/2020	14:35:52.838	0.318810	-1.450500	-0.023587	0.016866	2.184029	0.911586	455.903683	-0.042894	0.412863	0.053446	0.552572	0.081712	0.037510	-0.026390	0.213912	0.015559	0.183584	-0.484115	-0.053846	0.002271	192.139801	1.005836	-1.450500	0.081722	0.183584	2.184029	-1.131690	0.081687	0.552335	0.318673	-1.449878	-1.131205	0.117757	2.911165	6.338389	84.232491	8.719173	-5.492308	0.000000	1133.220337	0.000472	794.180115	0.861644
2020 HEATING NEW PTFE LINE_0323.LAB	11/19/2020	14:35:56.827	0.386819	-1.987089	-0.030645	0.017678	2.197843	1.100926	454.275309	-0.013791	0.790041	-0.013335	0.547376	0.143378	0.044346	-0.022417	0.142126	-0.009041	0.272522	-0.258875	-0.394407	0.006185	192.088928	1.006238	-1.987089	0.153842	0.272522	2.197843	-1.600270	0.153821	0.547301	0.386765	-1.986815	-1.600049	0.100349	2.910460	6.338138	85.231453	8.784952	-5.492308	0.000000	1133.221802	0.000133	1020.039551	0.861311
2020 HEATING NEW PTFE LINE_0324.LAB	11/19/2020	14:36:00.646	0.291885	1.993611	0.018315	0.016977	2.286091	0.836404	454.574578	-0.028112	0.605205	-0.047782	0.544010	0.071004	0.028715	-0.010456	0.071834	0.011792	0.285300	-0.113390	-0.515993	0.002455	192.097412	1.006613	1.993611	0.071004	0.285300	2.286091	2.285496	0.070984	0.543857	0.291803	1.993051	2.284853	0.099409	2.907157	6.336859	84.472237	8.784952	-5.498901	0.000000	1133.223389	0.000197	1601.914673	0.860960
