Spectrum	Date	Time	Acetylene (1000) 191C	Benzene  191c	C4F6 150C	CF4 Low 150C	CH4 (250) 191C (1of2)	CO (500) 191C (1of2)	CO2 ppm 191c	Desflurane 150c	Ethane (500) 191C	Ethylene (100,3000) 191C	H2O% (40) 191C	HCl ppm (100) 191C	HEXAFLUOROETHANE 150C	HEXAFLUOROPROPYLENE 150C	HF ppm (10) 191C	Isoflurane 150c	N2O (100,200,300) 191C	NO (350,3000) 191C	Propane (100) 191C	TRIFLUOROMETHANE 150C	Temp (C)	Pressure (Atm)	NO2 wet	CO wet	CH4 wet	NH3 wet	NOx wet	CO dry	CO2% dry	NO dry	NO2 dry	NOx dry	HC (C3)	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
2020 HEATING NEW PTFE LINE_0011.LAB	11/19/2020	14:15:32.765	-0.067876	-0.353296	-0.068879	0.001155	0.117112	0.226728	-1.703188	-0.023623	0.266367	0.005541	-0.002510	-0.108834	-0.004665	-0.002959	0.011275	0.013709	-0.012773	0.089834	0.325271	-0.003110	192.165237	1.001257	-0.353296	-0.108834	-0.012773	0.117112	-0.421172	-0.108808	-0.002510	-0.067860	-0.353212	-0.421073	0.180998	3.385832	6.666415	83.273483	8.670705	-5.441758	0.000000	1133.048706	0.000310	947.640991	0.856724
2020 HEATING NEW PTFE LINE_0012.LAB	11/19/2020	14:15:36.423	-0.299649	-0.539359	0.044715	0.002367	-0.043468	-0.125288	-0.251561	-0.010701	-0.122188	0.120376	0.001786	-0.082120	-0.000015	0.008565	0.033268	0.012198	-0.019291	0.091207	-0.101228	0.000280	192.165237	1.001472	-0.539359	-0.082120	-0.019291	-0.043468	-0.839009	-0.082111	0.001786	-0.299617	-0.539302	-0.838919	-0.016100	3.388031	6.667036	83.553192	8.691477	-5.441758	0.000000	1133.049805	0.000430	1024.578125	0.856808
2020 HEATING NEW PTFE LINE_0013.LAB	11/19/2020	14:15:40.257	-0.289514	-0.455492	-0.019791	-0.001764	0.052238	-0.106847	-0.260494	-0.000239	-0.354563	0.086638	-0.000009	0.103157	-0.000658	-0.003046	-0.011923	0.000358	-0.059649	-0.166391	0.060567	-0.002035	192.114365	1.001338	-0.455492	0.103157	-0.059649	0.052238	-0.745006	0.103157	-0.000009	-0.289513	-0.455491	-0.745004	-0.003383	3.387052	6.666756	83.393364	8.691477	-5.441758	0.000000	1133.049683	0.000280	944.766235	0.857051
2020 HEATING NEW PTFE LINE_0014.LAB	11/19/2020	14:15:44.502	0.264814	1.573413	-0.034476	-0.001751	0.104245	-0.006862	0.123924	-0.024641	0.045360	0.048777	0.001174	-0.080430	-0.005141	0.021437	0.004502	-0.002160	0.060481	0.113735	0.041728	0.003337	192.165237	1.001338	1.573413	-0.080430	0.060481	0.104245	1.838227	-0.080410	0.001174	0.264749	1.573025	1.837775	0.049949	3.384577	6.666153	83.193565	8.667242	-5.430769	0.000000	1133.050171	0.000389	1268.952271	0.857183
2020 HEATING NEW PTFE LINE_0015.LAB	11/19/2020	14:15:48.179	0.291402	1.599291	-0.152763	0.000148	0.037937	-0.022103	-1.882167	-0.018314	0.305619	0.054342	0.006892	0.055629	0.001893	-0.018532	-0.018084	0.002988	0.010562	-0.419888	0.203061	-0.001711	192.088928	1.001257	1.599291	0.055629	0.010562	0.037937	1.890693	0.055619	0.006891	0.291349	1.598998	1.890347	0.091236	3.380711	6.665251	83.193565	8.667242	-5.430769	0.000000	1133.050415	0.000396	1669.141602	0.856831
2020 HEATING NEW PTFE LINE_0016.LAB	11/19/2020	14:15:52.358	0.099693	1.298884	0.039505	-0.001288	0.045397	0.280380	0.410337	0.013821	0.082141	0.032055	0.003861	-0.093578	-0.006602	-0.009748	0.000066	-0.012317	0.096545	0.129228	0.142521	0.000756	192.114365	1.001257	1.298884	-0.093578	0.096545	0.045397	1.398577	-0.093591	0.003861	0.099707	1.299064	1.398771	0.091172	3.376997	6.663408	83.113647	8.667242	-5.428571	0.000000	1133.054321	0.000244	1581.847656	0.855799
2020 HEATING NEW PTFE LINE_0017.LAB	11/19/2020	14:15:55.995	0.172931	0.244258	-0.016761	-0.000981	0.224578	-0.068125	-0.886117	0.022444	0.166122	-0.001951	-0.002245	-0.220042	0.007011	-0.004129	-0.007804	-0.007838	0.013391	-0.125209	-0.375566	0.006239	192.097412	1.001257	0.244258	-0.220042	0.013391	0.224578	0.417189	-0.220091	-0.002246	0.172970	0.244313	0.417283	-0.031861	3.376411	6.665306	83.792946	8.684552	-5.428571	0.000000	1133.052734	0.000556	1118.867065	0.855358
2020 HEATING NEW PTFE LINE_0018.LAB	11/19/2020	14:15:59.874	0.000869	0.472295	0.053038	0.000552	-0.121103	0.158586	-0.267831	-0.014422	0.053981	0.052126	0.000073	0.003958	-0.000981	-0.011331	-0.006258	0.010455	-0.019959	-0.024295	0.704641	0.004213	192.139801	1.001338	0.472295	0.003958	-0.019959	-0.121103	0.473164	0.003957	0.000073	0.000869	0.472227	0.473096	0.447464	3.380469	6.665948	83.952782	8.684552	-5.419780	0.000000	1133.052612	0.000301	899.632568	0.856329
2020 HEATING NEW PTFE LINE_0019.LAB	11/19/2020	14:16:04.113	-0.248426	1.253291	-0.009529	0.000838	0.059550	0.300003	-0.873734	-0.025009	0.014535	0.000854	-0.005049	-0.012882	0.010937	0.000235	0.027517	0.010595	-0.045983	-0.179187	0.138052	0.004963	192.114365	1.001418	1.253291	-0.012882	-0.045983	0.059550	1.004865	-0.012879	-0.005048	-0.248364	1.252977	1.004613	0.056619	3.386038	6.667487	84.392319	8.649932	-5.419780	0.000000	1133.052612	0.000240	1047.171265	0.857420
2020 HEATING NEW PTFE LINE_0020.LAB	11/19/2020	14:16:07.778	0.273532	1.026545	-0.007397	0.002008	0.199424	-0.185864	-0.601218	-0.002159	0.148654	0.034949	0.009591	0.038584	-0.013119	-0.031180	0.012822	-0.005799	0.030093	-0.115120	0.010820	0.003006	192.139801	0.997402	1.026545	0.038584	0.030093	0.199424	1.300077	0.038583	0.009591	0.273526	1.026523	1.300049	0.003459	3.390265	6.670431	84.552155	8.649932	-5.419780	0.000000	1133.051514	0.000574	1170.316895	0.857924
